Event,Type
"Register for webinar on April 2019: Self management, the future of work, purpose-driven organizations and Holacracy with Brian Robertson",Webinars
Webinar on JavaScript Bootcamp for Beginners,Webinars
Webinar with Hack Reactor San Jose Coding Power Hour [Live-Online],Webinars
Register for Webinar with San Jose JavaScript Study Group [Live-Online],Webinars
Webinar on Data Science Virtual Informational Session,Webinars
Webinar on Galvanize Remote Part-time Data Science Information Session,Webinars
"Webinar on ""Learn to Code Denver: JavaScript 201 - Functions & Scope""",Webinars
IEEE ComSoc Webinar: 5G's Role in the Internet of Things -,Webinars
IEEE IoT Webinar: Integrating the IoT and Cultural Heritage in the Smart City,Webinars
IEEE IoT Webinar: Social Impact of and on IoT,Webinars
"Webinar on ""What Does the Future Hold for Cloud Computing?'",Webinars
"Weinar on ""AWS, Azure, and Google Cloud: Demystifying Multi-Cloud for Your Organization""",Webinars
IEEE Computer Society Webinar: Open Cirrus Cloud Computing Testbed: Federated Data Centers for Open Source Systems and Services Research,Webinars
WEBINAR: FUNDAMENTALS OF SOFTWARE ARCHITECTURE,Webinars
"Register for webinar on ""Software Architecture versus Software design - definition and differentiation""",Webinars
Live Webinar with JetBrains: Software Architecture as Code,Webinars
"Webinar on ""How to Launch a Central Bank Digital Currency on the Ethereum Blockchain""",Webinars
On-Demand Webinar: Blockchain and the Future of Commerce,Webinars
Free webinar: Getting started with C++ in embedded systems,Webinars
" Webinar on Future of higher education: short, medium and long-term perspectives around the world",Webinars
"Webinar on The future of internationalisation of higher education: short, medium and long-term perspectives",Webinars
"Get an certification on""The Complete Financial Analyst Courses  2020"" from udemy",Certifications
Get certification on Agile Crash Course: Agile Project Management; Agile Delivery,Certifications
Learn to Code in Python 3: Programming beginner to advanced along with certification,Certifications
"Access""Machine Learning A-Z™: Hands-On Python & R In Data Science"" and get certification  on completion ",Certifications
"Get certification on ""Clustering & Classification With Machine Learning In Python""",Certifications
Learn How To Build An AI with certification from udemy ,Certifications
Tensorflow Deep Learning - Data Science in Python from udemy with certification,Certifications
Get your certificate on Introduction to Cloud Computing with Amazon Web Services,Certifications
"Learn Distributed Applications at Scale, Parallel Programming, Distributed Computing & Cloud Software Architecture with certification ",Certifications
"Get certification on ""SOLID Principles: Introducing Software Architecture & Design""",Certifications
"How does cloud computing work?Understand cloud computing definition, concepts & jargon in layman's term with  certification from udemy",Certifications
Learn C++ Programming -Beginner to Advance- Deep Dive in C++  and get certification from udemy,Certifications
"Learn and  get certification on ""Advanced C Programming: Pointers"" till 23rd july",Certifications
Running a Mobile App Dev Business: The Complete Guide along with certification,Certifications
Mobile App Design in Photoshop From Scratch: Design Uber App and also get certification from udemy,Certifications
"Access ""The Complete 2020 Web Development Bootcamp"" and on successful completion get a certification",Certifications
"Get certification on ""Web Design for Everybody: Basics of Web Development & Coding Specialization""  from coursera",Certifications
"Access ""The Complete JavaScript Course 2020: Build Real Projects!"" and get certification from udemy",Certifications
Learn and build projects with pure JavaScript (No frameworks or libraries) and get certification to enrich your resume,Certifications
The IBM Cybersecurity Analyst Professional Certificate is your entry point into a new career in #cybersecurity.,Certifications
"Get your certification on ""Security in Google Cloud Platform"" from coursera",Certifications
"Get certification on ""The Coding Interview Bootcamp: Algorithms + Data Structures"" from  udemy",Certifications
C# Developers: Learn the Art to do clean coding with certification ,Certifications
"Learn ""Arduino Programming and Hardware Fundamentals with Hackster"" from udemy and  get certifcation",Certifications
"Get certificate on ""Embedded Software and Hardware Architecture"" from coursera",Certifications
"Learn ""Industrial IoT on Google Cloud Platform"" and get certification from coursera",Certifications
Complete Guide to Build IOT Things from Scratch to Market along with certifcation from udemy,Certifications
Java Programming Masterclass for Software Developers with certifcation from udemy,Certifications
Object Oriented Java Programming: Data Structures and Beyond Specialization with certification from coursera,Certifications
"Get ""IBM Applied AI Professional Certification "" from coursera",Certifications
"Get ""Google IT Automation with Python Professional Certification"" offered by google from coursera",Certifications
"Learn ""Finance & Quantitative Modeling for Analysts Specialization"" with certification from coursera",Certifications
"Learn and get certification on ""Object-Oriented Data Structures in C++""",Certifications
"Learn ""Microservices Software Architecture: Patterns and Techniques"" from udemy and get certification on successful completion",Certifications
The Complete Networking Fundamentals Course. Your CCNA start certification from udemy,Certifications
Python 3 Network Programming - Build 5 Network Applications certification from udemy,Certifications
Learn the key elements of blockchain and Bitcoin in this bestselling video course with certification from udemy,Certifications
"Get certification on ""Blockchain A-Z™: Learn How To Build Your First Blockchain""",Certifications
Learn How the Internet Works & the Web Development Process from udemy with certification,Certifications
The Software Development Process - The Complete Course along with certifcation,Certifications
IBM Data Science Professional Certification from coursera,Certifications
Get a System Administration certification from PurpleHat today.,Certifications
"Master Angular 10 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js from udemy with certification",Certifications
Google Ads 2020: How our clients have transformed their sales using Google Ads & get your Google Ads certification!,Certifications
"Master ""Microsoft Excel - Excel from Beginner to Advanced"" from udemy with certification",Certifications
 World Data Science Hackathon  is coming soon,Hackathons
Microsoft Azure Hackathon is about to start .Please register,Hackathons
#CODE19 Hackathon against covid19 is live from 20 th july,Hackathons
Winter Python Hackathon is live now,Hackathons
Intel Python hackathon  HACKFURY² starts next month,Hackathons
The Management 2.0 Hackathon,Hackathons
Cloud Computing Code Gladiators hackathon 2020 registration are open now,Hackathons
Cloud Fest 2021 Hackathon on cloud computing is due next month,Hackathons
Facebook hackercup 2020 is live now,Hackathons
Hackathon codequest 2020 to be live next month,Hackathons
Code heist 2020 from codechef will begin from august,Hackathons
Code Chronicles 2.0 is back again,Hackathons
Codechef API hackathon -Use codechef API and alibaba to help the community,Hackathons
"MNNIT Allahabad proudly presents to you the second edition of our annual hackathon, Hack36. ",Hackathons
HackVSIT is starting from 19 february,Hackathons
DX-19 hackathon is live now,Hackathons
HackerTech is a 36-hour Technical Hackathon starting next week.,Hackathons
"MIT HACKATHON PUNE, INTERNET OF THINGS (IOT) is live now",Hackathons
Hackoff 2.0 is back for another round next month,Hackathons
#hackcovy is the first online hackathon with the goal of creating technological solutions to cope with problems caused by COVID-19 in Vietnam,Hackathons
 Training Program of Drug Discovery Hackathon 2020 DDH.,Hackathons
"HackVSIT 3.0 will be an event full of innovation, learning, and a lot of healthy competition!",Hackathons
Invitation to participate in Scilab Toolbox Hackathon,Hackathons
Date Extended : Adobe CoDiva – International Women’s Day Hackathon 2020 / 26th march last date to apply,Hackathons
Adobe CODIVA Women hackathon - Register Now,Hackathons
Register now - Accenture Hack Diva 2020- Hackathon for Women in Engineering,Hackathons
Only 1 day to go! Register for HackWithInfy 2020 TODAY!,Hackathons
Hurry! 2 days to go before the registrations for HackWithInfy 2020 closes!,Hackathons
Very Good Opportunity for TE (Comp/IT) 2021 batch students to Participate in Persistent Hackathon Competition on 21st & 22nd March 2020 @ Company Office,Hackathons
Are you ready to showcase your coding skills in NextGen FlashFlex Hackathon Powered By Tech Mahindra,Hackathons
HackWithInfy 2020 Registrations: Deadline Extended!,Hackathons
Accenture Job Opportunity || Through Hack Diva 2020- Hackathon ||,Hackathons
HackWithInfy 2020 Registrations: Hurry! Last 3 days left!,Hackathons
Infosys HackWithInfy 2020 - A bright tomorrow awaits!,Hackathons
Be a part of the transformation: NITI Aayog - Pune Smart City > Hackathon : Savitribai Phule Pune University,Hackathons
"Hackathon @ Syngenta, Pune is live now",Hackathons
"Innovate with the best hackathon,",Hackathons
Student Contact Alert - Adobe CoDiva - International Women's Day Hackathon 2020 || Register now,Hackathons
Last week before the registrations for HackWithInfy 2020 closes!,Hackathons
Infosys HackWithInfy 2020 - Registrations open!,Hackathons
Kothari Legal Services is hiring in Pune. Apply Now,Jobs
Embold Technologies is hiring in Pune. Apply Now.,Jobs
You look like a good fit for the job at Deutsche Bank. Apply now.,Jobs
Epicurean Enterprises Pvt Ltd is looking for: Fresher software testing Engineer For Pune location,Jobs
Job | Hiring for Marketing Executive,Jobs
Proctur is hiring in Pune. Apply Now.,Jobs
JPMorgan Chase & Co. is looking for: 2020 Software Engineer Program - Summerhiring program,Jobs
Webinar on Lay-offs & Salary-cuts due to COVID-19 - Register now!,Webinars
You look like a good fit for the job at Syntech Solutions. Apply now.,Jobs
You look like a good fit for the job at Autodesk. Apply now.,Jobs
You look like a good fit for the job at Pune Web Designers. Apply now.,Jobs
Technooyster is hiring in Pune. Apply Now.,Jobs
Expedite Informatics Pvt Ltd is looking for: Software Testing Job,Jobs
UpTricks Services is hiring in Pune. Apply Now.,Jobs
ATOCONN SYSTEM LABS PRIVATE LIMITED is looking for: Software Developer.,Jobs
Check Out Top Companies Hiring Now! on firstnaukari,Jobs
Search relevant jobs to your skills on firstbleep .com,Jobs
"The best work from home jobs that pays well. Earn more than 30, 000 per month.",Jobs
Govt Jobs In India | 5000 Government Vacancy Apply Online Now,Jobs
HIRING A PART-TIME SUPPORTER FOR DATA ANALYST OR DATA SCIENTIST at PLATINUS TECHNOLOGIES PVT.LTD,Jobs
Hiring for Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow :Register to apply,Jobs
Veda Semantics is hiring for  Data Analyst / Data Scientist position,Jobs
Dream to be a Sr. Data Analyst? Axim Technologies is hiring now,Jobs
Mahiyoo Technologies and Consulting is hiring for  Python Django Full Stack Developer Freelance,Jobs
Want to be Machine Learning Scientist?CAREER MAKERS is hiring for the position,Jobs
MJB technologies LLP is hiring for Business System Analyst - Project Management  position,Jobs
Accenture is hiring for TELECOM OPERATIONS-PROGRAM AND PROJECT MANAGEMENT position,Jobs
Careerera is hiring  Information Security Specialist with elevant qualifications and a work experience of at least 2 years.,Jobs
Growth 360 is hiring  Cyber Security Lead,Jobs
Want to become Cyber Security Analyst? ShieldByte Infosec Pvt Ltd is hiring now,Jobs
Career Foresight HR Solution LLP is looking for Cyber Security Engineer with Contract role For 6 months,Jobs
Opsramp is hiring for a full time  Cyber Security -risk Manager,Jobs
Job listings python developer pune persistent systems limited pune with  5 to 8 years work experience,Jobs
We have an urgent  job requirement of Node JS + Python  Developer for Persistent Systems based at Pune (Yerwada),Jobs
HARMAN HIRING FOR PYTHON DEVELOPER FOR PUNE(MAX 30 DAYS JOINERS),Jobs
Lobo Staffing Solutions Private Limited is hiring Python Automation Developer at Pune,Jobs
Job listings principal senior frontend developer javascript banking oracle india pvtl ltd bengaluru,Jobs
Zinier Technologies is hiring  Technical Lead - Frontend Development - Javascript/ AngularJS,Jobs
"Opening for UI DEVELOPER (JAVASCRIPT, HTML5, CSS3, SASS) at SOTI at gurgaon",Jobs
Decom systems is hiring Computer  Networking Engineer,Jobs
Sourcing Talent Hire & Associates is hirinng  Service Engineer - Computer Hardware & CCTV,Jobs
RANDSTAD INDIA PVT LTD is opening position for Financial Analyst,Jobs
Valence Health is hiring Finance Coordinator for pune branch,Jobs
Job listings for  oracle financial functional consultant at  tejoma technologies private limited,Jobs
Infinite open source solutions is hiring Mobile Application Development at kerala,Jobs
RENTLY SOFTWARE DEVELOPMENT PRIVATE LIMITED is hiring Embedded Firmware Engineer/sr. Engineer/ Architect,Jobs
"Hire For R&D - API - Process Development - Atchutapuram, Vizag at 2Coms Consulting Pvt Ltd.",Jobs
Amway India Enterprises Pvt Ltd is hiring Associate Manager - Process Development,Jobs
Ceequence Technologies is looking for: Python Fresher Required.,Jobs
Intern at PTC and 9 more jobs in Pune for you. Apply now.,Internships
Youthfest is here,Fests
Techfest 2021 is here,Fests
Avishkar is here with full of new events,Fests
Biggest tech festival is coming back,Fests
Contribute for this awesome IT fests,Fests
India's first virtual EDM  festival is here0,Fests
Techintelligent 2020 is on!,Fests
Spectrum 2018 with exciting events is on fire!!,Fests
Kpit sparkle 2019 is back with innovative ideas,Fests
The most awaited IT festival is here,Fests
Avishkar is back with interesting events,Fests
The biggest innvoation fest INNOVISION is here,Fests
codefest 2020,Fests
Smart city festival is awaiting,Fests
"Techfest, IIT Bombay Asia's Largest Science and Technology Festival.",Fests
"IIT kanpur hosts Techkriti in 2020,a wellknow fest in india",Fests
"The first edition  of technology festival of IIT DHARWAD,Parsec 2020 is back now",Fests
"Wissenaire , the annual techno-management festival of Indian Institute of Technology Bhubaneswar",Fests
"Tryst, the annual technical festival of the Indian Institute of Technology Delhi is back in 2020",Fests
"Amalthea,technical fest of Indian Institute of Technology Gandhinagar is awaiting",Fests
"Techniche,Techno-Management festival  is golden opportunity for all techo geeks",Fests
Nvision 2020 is here,Fests
"IITM is organising  annual technical festival ""Shastra"" again for 2020",Fests
"Exodia ,annual techno-cultural fest of Indian Institute of Technology Mand  is back with interesting events",Fests
Celesta is back for all the techsavys ,Fests
IIT Bhilai is organizing Meraz-their techno festival .Register now,Fests
Gyanith  is back for all the tech geeks,Fests
Aayam the annual tech fest by NIT Agartala,Fests
Avishkar  the annual tech fest by NIT Allahabed is fild with excitting events,Fests
"Techspardha,the annual techno-managerial festival of National Institute of Technology, Kurukshetra is back in 2020",Fests
VULCANZY an annual tech fest organised by NIT AP is back for its 15 year,Fests
Biggest security tech festival is coming back,Fests
"International exhibition of electronic ,Computer and E commerce",Expos
Smart Home expo,Expos
Hong kong Education and careers expo,Expos
Tampa Veterans career fair,Expos
Career Education and Settlement immigrant and fair,Expos
Liverpool Jobs Fair(Recruitment),Expos
Australia studies fair in your college,Expos
Annual Diversity Employment Day Career Fair and roundtables,Expos
Portland Veteran Career fair,Expos
Expo to the security threats,Expos
India International Hospitality expo 2020,Expos
EmbeddedTech India expo 2020  is from 21 march to 25 march,Expos
Innovation day and National level project expo,Expos
Engineering Projects Expo 2020,Expos
NEPCON LIVE Online Exhibition ,Expos
AI  Expo Europe 2020,Expos
IoT Korea Exhibition 2020,Expos
Drive World Conference and Expo 2020,Expos
Tableau Conference 2019,Expos
Cyber Security Conference India 2019,Expos
Startups in Korea Expo 2019,Expos
Cyber Security Expo 2020,Expos
Cloud & DevOps World 2020,Expos
DX Summit 2019(2 days at london,Expos
Gartner Security & Risk Management Summit 2020,Expos
China International Optoelectronic Exposition 2020,Expos
Disha Higher Education Expo 2020,Expos
Higher Education expo in Alappuzha,Expos
premier school exbhition 2020,Expos
The great India Education fair,Expos
29th career fair 2020,Expos
17 th Admission fair 2020,Expos
Study in India 2020,Expos
Management and  business expo,Expos
Management and legislation expo,Expos
Techexpo at IIIT delhi,Expos
Super Computing Conference - SC 2020,Expos
Tableau Conference 2019,Expos
TechXLR8 - London Tech Week 2020,Expos
Internet+ Expo Powered By Cebit It Trade Fair 2019,Expos
Fireside Summit 2019,Expos
Virtual Cyber Security Chicago Conference 2020,Expos
Java J2ee Online Training - 100%  Guarantee?,Trainings
Java Training from Scratch - No Coding Experience Required?,Trainings
Java Training and Tutorials - ,Trainings
Training  | Grow Your Management Skills | Udemy?,Trainings
Management Skills Training | IMD Business School,Trainings
Management Skills for New Managers | MCE Training ,Trainings
Google Developer Skills & Web Development Training.,Trainings
Coding Training - Kick-Start Your Career Today?,Trainings
Coding Courses | Coursera,Courses
Coding Training Recommendations - Code Conquest,Trainings
CPP Practice Exam: C++ Certified Professional Programmer,Certifications
C Programming For Beginners - Master the C Language with  our course,Courses
C Programming : Absolute For Beginners by erolling for our courses,Courses
Learn C Programming:The best approach to learn C Language  from our free courses ,Courses
"Security Guard Training Programs, Classes and Requirements",Trainings
The C++ Certification Course,Certifications
Beginning C++ Programming - From Beginner to Beyond from our course,Courses
IoT Course | IoT Training - From Beginner to Expert from www.springpeople.com,Trainings
The C++ Programming Course For Beginners,Courses
Unreal Engine C++ Developer: Learn C++ from our course  and Make Video Games,Courses
Certified Programming Guide Of C Plus Plus Course,Courses
Web Development Course - Enroll Now & Start Learning?,Courses
C++ Nanodegree Certification for Programmers (Udacity),Certifications
 C++ Certification for C Programmers from University of California,Certifications
Internet Of Things Training - IOT Training - Intellipaat,Trainings
IoT Training | Learn IoT | IoT Training Online | Internshala,Trainings
CPA – C++ Certified Associate Programmer Certification,Certifications
C++ crtification (Pluralsight),Certifications
 NACAC National Conference,Workshops
annual conference of the Higher Education Web Professionals ,Workshops
 Leadership in Higher Education Conference,Workshops
Financial Workshops for your Employees - FinMarie,Workshops
“Workshop on Mobile Applications Development”,Workshops
2-Day Workshop on Android Application Development,Workshops
Learn Python with Online Python Courses | edX,Courses
Python Courses - Learn Python Skills Online | Coursera,Courses
Two Days Workshop on Artificial Intelligence BY VIT,Workshops
Python Workshops | python.fossee.in,Workshops
Python Workshop: Introduction and Beyond (2-Day Workshop),Workshops
A Two day workshop  on 'Finance for non finance executives',Workshops
"Corporate training in Analytics, Finance and ACcounting",Trainings
AI Workshop | Google Cloud,Workshops
Public Workshop - Evolving Role of Artificial Intelligence in radiological imaging,Workshops
Mobile Application Development Training Institute Hyderabad,Trainings
Mobile App Development Training - Tonex Training,Trainings
"Mobile Apps Online Courses: Design, Build, and Publish Apps from udemy",Courses
C++ Training Online | Internshala Trainings,Trainings
Top 5 Free C++ Courses to Learn Programming in 2019 ,Courses
JAVA - Core & Advanced Workshop - 5 Days | Innovians,Workshops
"Programming With Java Workshop - RoboTryst Tryst , IIT Delhi",Workshops
Top Software Architecture Courses Online - Updated,Courses
Favorite courses to learn Software Architecture in 2020,Courses
Workshop - Kerala State Higher Education Council,Workshops
National Workshop on Examination Reforms in Higher Education by Pune university,Workshops
IOT – Workshop on Internet of Things - i3indya™ Technologies,Workshops
IoT Workshop - 5 Day - Innovians Technologies,Workshops
"Workshop on IoT, Applications using Arduino BY Amrita Vishwa",Workshops
The Java Workshop - Packt - Workshop Learning,Workshops
C++ programming step by step from beginner to advance level with our course,Courses
Web Development: PHP & MySQL Workshop for Engineers,Workshops
12th International Workshop on Higher Education Reform,Workshops
annual conference of the Higher Education Web Professionals ,Workshops
 Leadership in Higher Education Conference,Workshops
Free Workshop - How to become a web developer,Workshops
The Complete JavaScript Course - Beginner to Professional,Courses
JavaScript Training  Learn JavaScript For Free | Codecademy,Trainings
JavaScript Tutorial - W3Schools,Trainings
5 days live Workshop For Shapeing  The Future Of Higher Education,Workshops
Introduction to Web Development 2-Day Workshop,Workshops
Learn Blockchain with Online Blockchain Courses | edX,Courses
Training  – Hyperledger,Trainings
Blockchain and Ethereu Training - Edureka,Trainings
Free Online Teaching Courses for Teacher CPD ,Courses
Teacher Training - How to Teach Online - Remote Teaching,Trainings
Diversity Abroad Annual Conference,Workshops
 NACAC National Conference,Workshops
"LaTeX - Online  Training, Tutorials on Lynda",Trainings
"Google's Coding Competitions - Code Jam, Hash Code ",Competitions
"Programming Competition,Programming Contest online on codechef",Competitions
Competitive Programming| Coding Competition on techgig,Competitions
Cyber Security Competition 2017,Competitions
European Cyber Security Challenge — ECSC,Competitions
Global Cyberlympics | International Hacking Competition,Competitions
Student Hardware Competition | IEEE SoutheastCon 2020,Competitions
Hardware and Device Programming Competition - CodeProject,Competitions
Hardware Model Checking Competition 2019 - JKU,Competitions
14th China Hardware Product Design Competition 2019,Competitions
Web Development Competition - CodeProject,Competitions
Web Design Contests and Web Design Competitions,Competitions
Inspiring Web page design Contests - 99designs,Competitions
IoT Challenge 2020 - National Level Event on IoT at Aakaar,Competitions
Biggest IoT Competitions in India - Engineering,Competitions
Biggest IOT Competition in India - Skyfi Labs,Competitions
Java Coding Contest - Learneroo,Competitions
ASSIST Java Contest | ASSIST Software Romania,Competitions
Java 4K Game Programming Contest,Competitions
AI for Good Idea Challenge – AI labs - Microsoft,Competitions
The AI Challenge - Student - Agorize,Competitions
"Artificial intelligence competition with $100,000 in prize money",Competitions
PyWeek games programming contest | Python.org,Competitions
Great Learning Python Challenge | Programming challenges on hackerearth,Competitions
Python International Competition - Foshay Tech Academy,Competitions
Financial Modeling Competition - 2019 Case Championship,Competitions
Competition and Finance | Cato Institute,Competitions
Atlab Competitions – Mobile App Making Competition,Competitions
IEEE Mobile application development contest,Competitions
"The C and C++ competition, contest and challenge around the  world",Competitions
The ACM-ICPC International Collegiate Programming Contest,Competitions
The ICFP Programming Contest,Competitions
 BME International 24-hours Programming Contest,Competitions
The International Obfuscated C Code Contest,Competitions
 Internet Problem Solving Contest,Competitions
Microsoft Imagine Cup,Competitions
Cloud Computing Workshop- Amazon Web Services 2020,Workshops
Short Term Training Programme On CLOUD COMPUTING AND SECURITY SERVICES 2020,Trainings
Networking Competition | IEEE SoutheastCon 2019,Competitions
JS1k - The JavaScript code golfing competition,Competitions
JavaScript Coding Challenges - DEV - Dev.to,Competitions
ML Contests: Machine Learning & Data Science Competitions,Competitions
"Knocktober – Machine learning Competition, 21st Oct, Analytics Vidhya",Competitions
Blockchain Coding Contest Offers $100K Prize | PYMNTS.com,Competitions
International Data Analysis Olympiad,Competitions
DataHack & DSAT,Competitions
Management 3.0 Workshops & Events,Workshops
Workshop on Management | Events | Welcome to SRM ,Workshops
Management Training Workshops and Seminars: Helping You Grow Your Business by Becoming a Better.,Workshops
Coding Workshops for Engineering Students - Skyfi Labs,Workshops
Free Coding Workshops and Campus Tours | Hack Reactor,Workshops
Want to Teach Coding? Here's Where to Begin | Edutopia workshop,Workshops
IWSEC 2020(The 15th International Workshop on Security),Workshops
Cyber Security 2 Days Workshop | Data Security,Workshops
Workshop on Security and Privacy in Big Data | 2020 IEEE INFOCOM,Workshops
Workshop on Computer Hardware and Networking - FAMT,Workshops
Workshop: Hardware & Processing | Digital Schoolhouse,Workshops
127 Management Intern jobs in India (2 new) - LinkedIn,Internships
Internet Of Things (IoT) Internship : Exa Mobility India Private Limited,Internships
Embedded Systems and IoT internship : iobot Technologies Private Limited,Internships
Internship : IoT - Transportation VLS,Internships
AWS Cloud Computing Internship in Pune,Internships
Cloud Computing Architecture Internship : Maxgen Technologies,Internships
Internship Hardware fields (Jul 2020),Internships
Web Development Internship | Web Development Summer program,Internships
6 Month Web Development Internship - Corporate School,Internships
Mactores - Cloud Engineer - AWS/Azure - Internship,Internships
Internet of Things Engineer - Intern - SmartBridge,Internships
Machine Learning Internship l Machine Learning Projects l ,Internships
Django Python Development Internship In Pune At Autovista,Internships
Python Development internship:ToCan Analytics,Internships
Python/Django Development internship Ungeek Mumbai,Internships
Artificial intelligence And Robotics Internship : Sankhkyiki Robotics Private Limited,Internships
FINANCE Internships in India | Internship in FINANCE 2020,Internships
Android Internship - Android/IOS/Hybrid Mobile App Internship,Internships
Top 10 Online Internship Training Program in ... - Internshipwala,Internships
5 days Live Workshop for C Programming Basics! 3 days to go!,Workshops
Cloud Computing Internships | Microsoft Azure Cloud ... - Verzeo,Internships
Data Science Internship Internships on Data Science with Python: Evolet Technologies,Internships
C Internship - C Programming Internship - By 10 Microsoft ,Internships
Summer Winter Internship in C Programming ...,Internships
Python Development For Step Motor Raspberry Pi Project Part Time :Infigo Research Laboratories Private Limited,Jobs
JavaScript Developer (Fresher/Intern) at JS Tigers • Bengaluru ,Internships
Technical Consulting Intern- AI frameworks and tools : Intel Corporation,Internships
Data Science - Intern - Only Final Year Student : Quikkloan.com - Digital loan marketplace,Internships
Online Summer Internship Program in Machine Learning,Internships
Why Learn Blockchain | Internship in Blockchain - Verzeo,Internships
Machine Learning Internship:Exa Mobility India Private Limited -,Internships
Java Development Internship:LOGOS CORPORATE SOLUTIONS,Internships
Java Development Internship In Jodhpur Pune At Chirpn It Solutions,Internships
Java Internship in Pune:Maxgen Technologies,Internships
Management: Leading Wisely | TED Studies | Read - TED Talks,Talks
Code: The next universal language | TED Talks,Talks
hellerve/programming-talks: Awesome & interesting ... - GitHub,Talks
Ideas about Security - TED Talks,Talks
hardwear.io USA 2019 Talks | Hardware and Embedded systems,Talks
Revolution of the open hardware | Bram Geenen | TEDtalksxMadrid,Talks
Atos Expert talk - Change Management & Augmented Reality,Talks
"VIP Reminder: July 24 Talk with Facebook AI Researcher Cristian Canton: ""Abuses and Misuses of AI: Prevention vs. Reactio",Talks
"Talk with Author and Python's Pandas Creator Wes McKinney: ""Apache Arrow and the Future of Data Frames""",Talks
"June 8 Talk: ""Leveraging the ACM Code of Ethics Against Ethical Snake Oil and Dodgy Development,? with Don Gotterbarn and Marty Wolf",Talks
 May 22 Talk on AWS Lambda with Luke Closs,Talks
April 30 Talk on Responsible Data Use with ACM Fellow Jeannette Wing,Talks
April 14 Talk on the Evolution of Computer Graphics with 2019 Turing Laureate Ed Catmull and PDI/DreamWorks Co-Founder Richard Chuang,Talks
March 25 Talk on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Talks
"February 26 Talk with Tulsee Doshi: ""Fairness in Machine Learning""",Talks
"February 5 Talk on Reliability Engineering and Incident Response with Author Lorin Hochsteinoshi: ""Fairness in Machine Learning""",Talks
 November 1 Talk on the Rust Programming Language with Author and Rust Core Member Carol Nichols,Talks
"Talk with HCI Pioneer Joseph A. Konstan, ""Recommender Systems: Beyond Machine Learning""",Talks
One Day Session On Management Consulting Skills Mastery,Webinars
"Webinar on ""Your Study Abroad Journey""",Webinars
"Webinar on ""Start A University Of Arizona Master's Degree From Wherever You Are""",Webinars
"Live Session :""Start Exploring Your Overseas Education Today""!!",Webinars
"One Day Workshop on ""Technical Report Writing :-Latex""",Workshops
"National Webinar on ""Unlock India-A Management Prespective""",Webinars
"Webinar on ""Open Source Software Development With Git and GitHub""",Webinars
Building Your Next Machine Learning Dataset :Get Ready In 3 Days - Live Webinar,Webinars
A Webinar On  How To Develop Logistic Regression Model Using Python,Webinars
" A Live Session On ""What Enterprise Should Know About Machine Learning"" ",Webinars
Free Online Webinar On Machine Learning,Webinars
Job Alert: Cisco is hiring for C/C++ developers in India,Jobs
"IBM, Accenture, and others hiring software developers and big data engineers",Jobs
IIT Roorkee launches online summer training program on Data Science,Trainings
Data Science Fresher Intern:Softtronix IT Solution,Internships
Data Science jobs at Siemens: Know the hiring process,Jobs
Job Alert: Ecom Express to hire 7000 employees over next two months,Jobs
GlobalLogic 30 Hacks,Hackathons
Brillio Game Changer Hackathon - Tech Queens Series,Hackathons
Machine Learning Internship:FOXARCO ,Internships
Open Coding Round,Competitions
CrowdStrike Hackathon - Every Second Counts,Hackathons
Lowe’s Campus Hackathon,Hackathons
Data Analytics Internship:Think Analytics India Private Limited,Hackathons
Code-Solve-Build,Hackathons
February Code War,Hackathons
Pubmatic Code Storm,Hackathons
UiPath RPA Hackathon,Hackathons
"Machine Learning Intern :Part-time, Internship, Fresher",Internships
Python Challenge,Competitions
C# Challenge,Competitions
Web Development internship,Internships
PHP Software Developer - intern,Internships
Artificial Intelligence Internship,Internships
Alibaba Cloud India Hackathon,Hackathons
Cyber Security internship,Internships
HERE-a-Thon 3,Hackathons
Location Service Campus Hackathon,Hackathons
Voice Based Pyments Hackathon,Hackathons
IG PAN India Contest,Competitions
RPA Hackathon,Hackathons
AI  Hackathon,Hackathons
Solution Hunters Hackathon,Hackathons
AngularJS Hackathon,Hackathons
DecOps Hackathon,Hackathons
Blockchain Hackathon,Hackathons
Tech Aptitude Challenge,Competitions
Icertis Quiz,Competitions
NEC Open Innovation Hackathon,Hackathons
Internship Programme for college students,Internships
AMC Software Code Warriors,Competitions
Cognizant Azure Hackathon,Hackathons
CGI Full Stack JavaThon Challenge 2019,Hackathons
Open Contest,Competitions
Software Development Engineer Intern(2020 graduates and 6Months,Internships
Amex IoT Hackathon,Hackathons
Informatica Code-aThon 2018,Hackathons
ContiQuest-Quest For Tech Thirst,Competitions
TomTom India Hackathon ,Hackathons
Learning Java with our courses,Courses
Engineering Students: Web Development -Work from Home during Corona lockdown  with our internship,Internships
"National Webinar ""Hang Out with Entrepreneurs""",Webinars
Online Seminar Open House:Career Planning and Guidance,Webinars
"Webinar on ""Impact of COVID-19 pandemic on research and education""",Webinars
Guest Lecture on Advances in Machine Learning,Talks
"Hands-on Workshop On ""Python""",Workshops
"Workshop On ""Fundamentals of MATLAB""",Workshops
"Global Expert Talk on ""Trends in Cloud Computing towards Industry Oriented Concepts""",Talks
"Session on ""How To Build A Machine Learning Model""",Workshops
